                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.2085,                0.69758,                0.80368,                 0.6614,                0.61905,                0.55869,                0.34665,                 1.1218,                 1.5602,                0.51073,               0.002278,               0.002278,               0.002278
                     80,                 1.1918,                 0.7007,                0.79964,                 0.6391,                    0.6,                0.52212,                 0.3022,                 1.1271,                 1.5499,                0.51138,               0.002179,               0.002179,               0.002179
                     81,                 1.1526,                0.70427,                0.79956,                0.63389,                0.61012,                0.48315,                0.27148,                 1.1113,                 1.5114,                0.51099,                0.00208,                0.00208,                0.00208
                     82,                 1.2354,                0.70244,                0.81087,                0.63583,                0.60952,                0.47386,                0.28025,                 1.1342,                 1.4846,                0.50802,               0.001981,               0.001981,               0.001981
                     83,                 1.1898,                0.69716,                0.79805,                0.63328,                0.60952,                0.49379,                 0.2857,                  1.101,                 1.5302,                0.50739,               0.001882,               0.001882,               0.001882
                     84,                 1.1603,                0.71438,                0.79422,                0.63345,                0.60952,                0.47979,                0.27675,                 1.1324,                 1.5595,                0.50711,               0.001783,               0.001783,               0.001783
                     85,                 1.1524,                0.68013,                0.79953,                0.64236,                0.61583,                0.49946,                0.27977,                 1.1502,                  1.552,                0.50752,               0.001684,               0.001684,               0.001684
                     86,                 1.0982,                0.69488,                0.80495,                0.64014,                0.60991,                 0.5015,                0.28308,                 1.1703,                 1.5315,                0.50727,               0.001585,               0.001585,               0.001585
                     87,                 1.1376,                0.67843,                0.78524,                0.62054,                    0.6,                0.48902,                0.28044,                  1.187,                 1.5469,                0.50229,               0.001486,               0.001486,               0.001486
                     88,                 1.0864,                0.71619,                0.79917,                0.62483,                0.60952,                 0.4951,                0.29976,                 1.1255,                 1.5193,                0.50209,               0.001387,               0.001387,               0.001387
                     89,                 1.0725,                0.68377,                 0.7969,                 0.6261,                0.61905,                 0.5572,                0.32855,                 1.1517,                 1.5447,                0.50217,               0.001288,               0.001288,               0.001288
                     90,                 1.0937,                0.70451,                0.79773,                0.65947,                0.62857,                0.54804,                0.33036,                 1.1239,                 1.5426,                0.50339,               0.001189,               0.001189,               0.001189
                     91,                 1.1084,                0.69891,                0.79364,                0.60057,                0.67303,                0.53977,                0.34187,                 1.1024,                 1.5118,                 0.5028,                0.00109,                0.00109,                0.00109
                     92,                 1.0856,                0.69137,                0.79356,                0.59589,                0.64602,                0.53634,                0.32955,                 1.0995,                 1.4996,                0.50304,               0.000991,               0.000991,               0.000991
                     93,                 1.0683,                0.68223,                0.78909,                0.59758,                0.65058,                0.51573,                 0.3124,                 1.1305,                 1.5338,                0.50179,               0.000892,               0.000892,               0.000892
                     94,                 1.0892,                0.68052,                0.79044,                0.60921,                0.62857,                0.51984,                0.31776,                 1.1627,                 1.5174,                0.50301,               0.000793,               0.000793,               0.000793
                     95,                 1.0743,                0.70472,                0.79695,                0.60392,                0.64762,                0.51422,                0.31001,                 1.1444,                 1.4933,                0.50459,               0.000694,               0.000694,               0.000694
                     96,                 1.1057,                0.67855,                 0.8014,                0.59002,                0.60952,                0.51706,                0.32634,                 1.1255,                 1.4988,                  0.506,               0.000595,               0.000595,               0.000595
                     97,                 1.0668,                 0.6572,                0.80415,                0.64474,                 0.6568,                0.57936,                  0.353,                 1.1321,                 1.4924,                0.50615,               0.000496,               0.000496,               0.000496
                     98,                 1.0719,                0.66562,                0.79834,                0.63258,                0.60672,                0.53518,                0.34112,                 1.1193,                 1.5041,                0.50687,               0.000397,               0.000397,               0.000397
                     99,                 1.0866,                0.67287,                0.80149,                0.63899,                0.60952,                0.54193,                0.33511,                 1.1024,                 1.4624,                0.50691,               0.000298,               0.000298,               0.000298
