                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.81498,                0.75805,                0.79615,                0.54217,                0.58246,                0.45648,                  0.331,                0.79472,                 1.5293,                0.53917,               0.001585,               0.001585,               0.001585
                     87,                0.82027,                0.75031,                0.79725,                0.53112,                0.57193,                0.43579,                0.31297,                0.78024,                 1.5233,                0.53948,               0.001486,               0.001486,               0.001486
                     88,                0.80266,                0.75186,                0.79481,                0.55874,                0.60351,                0.49469,                0.36084,                0.78289,                 1.5419,                0.53868,               0.001387,               0.001387,               0.001387
                     89,                 0.8197,                0.77197,                 0.7923,                0.56202,                0.59298,                0.48982,                0.36029,                0.79571,                 1.5603,                0.53919,               0.001288,               0.001288,               0.001288
                     90,                0.81787,                0.75494,                0.79179,                0.56842,                0.60702,                0.51928,                 0.3871,                0.77583,                  1.554,                0.53718,               0.001189,               0.001189,               0.001189
                     91,                0.81005,                 0.7557,                0.79044,                0.55682,                0.60702,                 0.4894,                0.36191,                0.78568,                 1.5469,                0.53795,                0.00109,                0.00109,                0.00109
                     92,                0.80742,                0.76003,                0.79434,                0.56871,                0.60351,                0.48851,                0.36922,                0.76001,                 1.5431,                 0.5366,               0.000991,               0.000991,               0.000991
                     93,                0.76172,                0.75327,                0.78478,                 0.5566,                    0.6,                0.47967,                0.35208,                0.75023,                 1.5258,                0.53622,               0.000892,               0.000892,               0.000892
                     94,                0.79972,                0.72862,                0.78911,                0.56259,                0.61053,                0.46626,                0.34324,                 0.7473,                 1.5321,                0.53569,               0.000793,               0.000793,               0.000793
                     95,                0.79104,                 0.7576,                0.79684,                0.56243,                0.61053,                0.48416,                0.35935,                0.74845,                 1.5344,                0.53511,               0.000694,               0.000694,               0.000694
                     96,                0.78605,                0.74645,                0.79641,                0.59649,                0.60168,                 0.5154,                0.38616,                0.74323,                 1.5354,                 0.5357,               0.000595,               0.000595,               0.000595
                     97,                  0.803,                0.75884,                0.79335,                0.57795,                0.58246,                0.50499,                0.38333,                0.74628,                 1.5266,                0.53586,               0.000496,               0.000496,               0.000496
                     98,                0.79082,                0.74117,                0.78743,                0.56482,                0.62105,                0.53685,                0.39852,                0.73843,                 1.5245,                0.53485,               0.000397,               0.000397,               0.000397
                     99,                0.76554,                0.74489,                0.79119,                 0.5614,                0.60702,                0.51626,                 0.3849,                0.73616,                 1.5178,                0.53486,               0.000298,               0.000298,               0.000298
